step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
73,89412,292,0.1001648932458325,0.75,0.9444444444444444,,,
74,91240,296,0.13230324237149768,0.5,0.6666666666666666,,,
75,92268,300,0.14325932953917117,0.5,0.7142857142857143,,,
76,93264,304,0.14656470295443974,0.25,0.7,,,
77,94516,308,0.10803348463204351,0.75,0.9230769230769231,0.2866819668370992,0.5,0.8333333333333334
78,95672,312,0.13828260808549672,0.5,0.8,,,
79,96828,316,0.12168264936942613,0.25,0.6363636363636364,,,
80,98304,320,0.12672117740256386,0.75,0.8888888888888888,,,
81,99140,324,0.13159901186333908,0.25,0.6363636363636364,,,
82,100424,328,0.1575847308644808,0.75,0.8888888888888888,,,
83,101548,332,0.11650621590766735,0.5,0.8333333333333334,,,
84,103376,336,0.12429777831150142,0.5,0.7857142857142857,,,
85,104404,340,0.12597797646407827,0.75,0.8571428571428571,,,
86,105816,344,0.10261588709612192,0.5,0.8,,,
87,106716,348,0.09691334019905266,0.75,0.9230769230769231,,,
88,107968,352,0.13120305508754,0.75,0.9333333333333333,,,
89,109796,356,0.11226481599259817,0.75,0.9,0.21375480362951294,0.25,0.7692307692307693
90,111048,360,0.09954283446223507,1.0,1.0,,,
91,111852,364,0.1031786904612286,1.0,1.0,,,
92,113104,368,0.1333648442733589,0.75,0.9285714285714286,,,
93,114228,372,0.09998335709068508,0.5,0.8888888888888888,,,
94,115384,376,0.1208804774584779,0.75,0.8571428571428571,,,
95,116380,380,0.17743152747976168,0.75,0.8461538461538461,,,
96,117280,384,0.10000593346064923,0.75,0.9166666666666666,,,
97,118308,388,0.1341211753308187,1.0,1.0,,,
